SerialNo,Id,DeptSn,StateOfOrigin,Sex,Age,Engscore,Subj2,Subj2Score,Subj3,Subj3Score,Subj4,Subj4Score,TotalScore,F12tChoice,faculty,dept
1,943,1,16,1,18,85,3,85,4,48,1,58,276,ABUJA,Faculty of Management Sciences,1
2,944,2,1,1,24,65,4,66,5,69,1,70,270,ABUJA,Faculty of Management Sciences,1
3,945,3,4,1,21,48,4,75,5,71,1,62,256,ABUJA,Faculty of Management Sciences,1
4,946,4,9,1,24,61,4,70,6,74,1,50,255,ABUJA,Faculty of Management Sciences,1
5,947,5,22,2,23,56,4,69,5,66,1,63,254,ABUJA,Faculty of Management Sciences,1
6,948,6,3,2,17,65,3,76,4,66,1,47,254,ABUJA,Faculty of Management Sciences,1
7,949,7,23,2,21,75,4,70,5,62,1,45,252,ABUJA,Faculty of Management Sciences,1
8,950,8,12,1,18,41,3,86,4,70,1,53,250,ABUJA,Faculty of Management Sciences,1
9,951,9,14,1,26,69,4,61,5,66,1,52,248,ABUJA,Faculty of Management Sciences,1
10,952,10,7,2,23,61,3,64,5,55,1,68,248,ABUJA,Faculty of Management Sciences,1
11,953,11,22,1,20,65,3,69,4,61,1,53,248,ABUJA,Faculty of Management Sciences,1
12,954,12,22,2,17,67,3,69,4,68,1,43,247,ABUJA,Faculty of Management Sciences,1
13,955,13,10,2,20,70,4,57,5,68,1,52,247,ABUJA,Faculty of Management Sciences,1
14,956,14,14,2,21,49,4,73,5,62,1,62,246,ABUJA,Faculty of Management Sciences,1
15,957,15,4,2,20,60,4,57,5,59,1,70,246,ABUJA,Faculty of Management Sciences,1
16,958,16,16,2,21,66,4,68,5,54,1,57,245,ABUJA,Faculty of Management Sciences,1
17,959,17,22,2,17,60,3,60,4,71,1,53,244,ABUJA,Faculty of Management Sciences,1
18,962,20,11,1,17,66,4,50,5,69,1,58,243,ABUJA,Faculty of Management Sciences,1
19,963,21,7,2,22,60,4,57,5,61,1,62,240,ABUJA,Faculty of Management Sciences,1
20,964,22,22,2,20,73,4,55,5,55,1,57,240,ABUJA,Faculty of Management Sciences,1
21,965,23,10,1,19,74,3,64,4,46,1,53,237,ABUJA,Faculty of Management Sciences,1
22,966,24,22,1,17,63,3,57,4,55,1,62,237,ABUJA,Faculty of Management Sciences,1
23,967,25,14,2,19,65,3,64,4,52,1,55,236,ABUJA,Faculty of Management Sciences,1
24,968,26,13,1,29,55,3,64,4,64,1,53,236,ABUJA,Faculty of Management Sciences,1
25,969,27,22,1,23,56,4,55,5,73,1,52,236,ABUJA,Faculty of Management Sciences,1
26,971,29,29,2,16,52,3,67,4,66,1,50,235,ABUJA,Faculty of Management Sciences,1
27,974,32,12,1,28,49,4,70,5,55,1,60,234,ABUJA,Faculty of Management Sciences,1
28,975,33,14,2,18,71,4,62,5,54,1,47,234,ABUJA,Faculty of Management Sciences,1
29,977,35,30,1,19,56,4,58,5,82,1,37,233,ABUJA,Faculty of Management Sciences,1
30,978,36,7,2,20,63,3,58,4,57,1,55,233,ABUJA,Faculty of Management Sciences,1
31,979,37,1,2,19,66,4,53,5,47,1,67,233,ABUJA,Faculty of Management Sciences,1
32,980,38,23,1,18,66,3,58,4,61,1,48,233,ABUJA,Faculty of Management Sciences,1
33,982,40,16,1,21,70,3,58,4,52,1,52,232,ABUJA,Faculty of Management Sciences,1
34,983,41,9,2,24,64,3,57,4,66,1,45,232,ABUJA,Faculty of Management Sciences,1
35,984,42,22,2,19,67,4,53,5,57,1,55,232,ABUJA,Faculty of Management Sciences,1
36,985,43,12,2,20,56,3,55,4,66,1,55,232,ABUJA,Faculty of Management Sciences,1
37,986,44,4,2,16,82,7,58,4,44,1,47,231,ABUJA,Faculty of Management Sciences,1
38,987,45,7,1,17,58,4,64,5,54,1,55,231,ABUJA,Faculty of Management Sciences,1
39,989,47,29,2,19,65,4,59,1,52,8,54,230,ABUJA,Faculty of Management Sciences,1
40,991,49,9,2,16,56,3,55,4,62,1,55,228,ABUJA,Faculty of Management Sciences,1
41,993,51,28,1,28,58,4,57,5,55,1,58,228,ABUJA,Faculty of Management Sciences,1
42,994,52,18,2,17,56,3,72,4,55,1,45,228,ABUJA,Faculty of Management Sciences,1
43,995,53,1,2,26,47,4,62,5,66,1,53,228,ABUJA,Faculty of Management Sciences,1
44,996,54,22,2,23,51,3,60,4,64,1,53,228,ABUJA,Faculty of Management Sciences,1
45,997,55,14,1,19,69,4,50,5,55,1,53,227,ABUJA,Faculty of Management Sciences,1
46,999,57,22,1,21,57,4,64,5,54,1,52,227,ABUJA,Faculty of Management Sciences,1
47,1001,59,7,1,19,49,3,64,4,55,1,58,226,ABUJA,Faculty of Management Sciences,1
48,1003,61,30,1,20,48,3,55,4,64,1,58,225,ABUJA,Faculty of Management Sciences,1
49,1005,63,13,2,16,54,3,64,4,59,1,48,225,ABUJA,Faculty of Management Sciences,1
50,1007,65,27,1,31,60,4,64,5,43,1,57,224,ABUJA,Faculty of Management Sciences,1
51,1011,69,16,2,18,52,3,58,4,61,1,53,224,ABUJA,Faculty of Management Sciences,1
52,1015,73,9,1,25,63,3,46,4,64,1,50,223,ABUJA,Faculty of Management Sciences,1
53,1022,80,10,2,23,65,4,52,5,52,1,53,222,ABUJA,Faculty of Management Sciences,1
54,1024,82,3,2,21,47,4,61,5,59,1,55,222,ABUJA,Faculty of Management Sciences,1
55,1027,85,37,1,21,58,3,60,4,53,1,50,221,ABUJA,Faculty of Management Sciences,1
56,1030,88,25,1,28,52,3,57,4,61,1,50,220,ABUJA,Faculty of Management Sciences,1
57,1032,90,23,2,19,67,3,55,4,53,1,45,220,ABUJA,Faculty of Management Sciences,1
58,1036,94,32,1,18,42,3,57,4,68,1,53,220,ABUJA,Faculty of Management Sciences,1
59,1064,122,2,2,24,52,4,53,6,60,1,52,217,ABUJA,Faculty of Management Sciences,1
60,1070,128,31,1,19,53,3,48,4,55,1,60,216,ABUJA,Faculty of Management Sciences,1
61,1073,131,20,2,19,39,3,62,5,68,1,47,216,ABUJA,Faculty of Management Sciences,1
62,1074,132,37,2,17,54,3,60,4,50,1,52,216,ABUJA,Faculty of Management Sciences,1
63,1077,135,11,2,17,48,3,65,4,48,1,55,216,ABUJA,Faculty of Management Sciences,1
64,1079,137,25,1,28,62,3,46,4,54,1,54,216,ABUJA,Faculty of Management Sciences,1
65,1084,142,31,2,18,60,3,53,4,52,1,50,215,ABUJA,Faculty of Management Sciences,1
66,1085,143,26,1,18,56,4,59,5,52,1,48,215,ABUJA,Faculty of Management Sciences,1
67,1086,144,24,1,20,47,4,59,1,57,8,52,215,ABUJA,Faculty of Management Sciences,1
68,1111,169,18,1,19,63,4,53,5,47,1,50,213,ABUJA,Faculty of Management Sciences,1
69,1112,170,19,1,21,61,3,57,4,53,1,42,213,ABUJA,Faculty of Management Sciences,1
70,1115,173,36,1,23,57,3,51,4,50,1,55,213,ABUJA,Faculty of Management Sciences,1
71,1127,185,26,2,18,52,12,49,1,48,8,63,212,ABUJA,Faculty of Management Sciences,1
72,1139,197,23,1,27,54,3,53,4,52,1,52,211,ABUJA,Faculty of Management Sciences,1
73,1183,241,8,1,19,55,4,53,5,48,1,53,209,ABUJA,Faculty of Management Sciences,1
74,1187,245,11,1,21,54,3,54,4,52,1,48,208,ABUJA,Faculty of Management Sciences,1
75,1193,251,34,1,21,51,4,59,5,50,1,48,208,ABUJA,Faculty of Management Sciences,1
76,1198,256,5,2,18,51,2,54,4,50,1,53,208,ABUJA,Faculty of Management Sciences,1
77,1221,279,33,1,21,52,4,53,12,54,1,47,206,ABUJA,Faculty of Management Sciences,1
78,1980,1,22,2,20,64,2,92,9,54,10,52,262,ABUJA,Faculty of Agriculture,27
79,1981,2,22,1,20,60,2,98,9,55,6,48,261,ABUJA,Faculty of Agriculture,27
80,1982,3,12,1,19,48,2,69,9,73,1,67,257,ABUJA,Faculty of Agriculture,27
81,1983,4,22,1,22,62,2,94,9,40,10,56,252,ABUJA,Faculty of Agriculture,27
82,1984,5,29,2,17,62,2,57,9,62,10,63,244,ABUJA,Faculty of Agriculture,27
83,1987,8,4,1,17,85,2,71,9,45,10,39,240,ABUJA,Faculty of Agriculture,27
84,1988,9,4,1,20,69,11,61,9,54,10,54,238,ABUJA,Faculty of Agriculture,27
85,1990,11,22,1,34,58,2,59,9,55,10,64,236,ABUJA,Faculty of Agriculture,27
86,1992,13,4,2,17,79,2,43,9,62,10,51,235,ABUJA,Faculty of Agriculture,27
87,1998,19,30,1,26,69,11,44,9,64,10,51,228,ABUJA,Faculty of Agriculture,27
88,2001,22,22,1,17,63,9,54,1,70,10,40,227,ABUJA,Faculty of Agriculture,27
89,2002,23,14,2,21,61,2,77,9,55,10,33,226,ABUJA,Faculty of Agriculture,27
90,2003,24,12,1,23,54,2,54,4,55,1,62,225,ABUJA,Faculty of Agriculture,27
91,2007,28,37,1,23,54,2,77,9,41,6,50,222,ABUJA,Faculty of Agriculture,27
92,2010,31,30,1,22,63,11,54,9,57,1,45,219,ABUJA,Faculty of Agriculture,27
93,2011,32,6,2,21,61,11,49,9,48,4,61,219,ABUJA,Faculty of Agriculture,27
94,2013,34,29,1,16,69,2,48,9,45,10,56,218,ABUJA,Faculty of Agriculture,27
95,2014,35,14,1,18,70,11,49,9,47,4,52,218,ABUJA,Faculty of Agriculture,27
96,2015,36,30,1,24,66,11,44,9,47,1,60,217,ABUJA,Faculty of Agriculture,27
97,2016,37,18,2,20,56,11,51,9,52,10,57,216,ABUJA,Faculty of Agriculture,27
98,2020,41,16,2,17,72,11,37,9,47,10,59,215,ABUJA,Faculty of Education,4
99,2021,42,34,1,26,64,11,49,9,47,6,54,214,ABUJA,Faculty of Agriculture,27
100,2026,47,23,1,20,51,11,72,9,41,1,47,211,ABUJA,Faculty of Agriculture,27
101,2027,48,22,1,19,54,11,44,4,59,6,54,211,ABUJA,Faculty of Education,7
102,2030,51,10,1,17,68,11,42,9,46,1,54,210,ABUJA,Faculty of Agriculture,27
103,2031,52,1,1,19,56,11,52,9,48,6,53,209,ABUJA,Faculty of Agriculture,27
104,2032,53,29,1,20,55,11,63,9,43,1,48,209,ABUJA,Faculty of Agriculture,27
105,2034,55,37,2,22,53,11,56,9,50,10,49,208,ABUJA,Faculty of Agriculture,27
106,2039,60,16,1,19,53,11,56,9,50,10,47,206,ABUJA,Faculty of Agriculture,27
107,2045,66,22,1,16,47,2,46,9,52,10,59,204,ABUJA,Faculty of Agriculture,27
108,2046,67,37,1,21,53,11,49,9,50,1,52,204,ABUJA,Faculty of Agriculture,27
109,2049,70,18,1,22,48,11,54,6,51,1,50,203,ABUJA,Faculty of Social Science,14
110,2050,71,16,2,20,44,2,56,9,54,10,49,203,ABUJA,Faculty of Agriculture,27
111,2053,74,4,2,18,61,2,46,9,43,10,52,202,ABUJA,Faculty of Agriculture,27
112,2054,75,28,1,26,54,11,54,9,42,10,52,202,ABUJA,Faculty of Agriculture,27
113,2055,76,11,1,20,51,2,48,9,55,1,48,202,ABUJA,Faculty of Agriculture,27
114,2056,77,1,1,19,47,9,55,1,43,10,57,202,ABUJA,Faculty of Agriculture,27
115,2058,79,29,1,24,54,9,54,1,48,10,45,201,ABUJA,Faculty of Education,4
116,2059,80,22,2,23,49,2,53,9,47,10,51,200,ABUJA,Faculty of Agriculture,27
117,2064,85,18,2,16,52,11,44,9,57,1,47,200,ABUJA,Faculty of Agriculture,27
118,2065,86,30,1,20,54,11,49,9,57,10,40,200,ABUJA,Faculty of Agriculture,27
119,2066,87,13,2,20,51,11,58,9,45,10,45,199,ABUJA,Faculty of Agriculture,27
120,2067,88,12,1,20,57,11,47,9,48,1,47,199,ABUJA,Faculty of Agriculture,27
121,2071,92,4,2,17,56,2,41,9,45,10,56,198,ABUJA,Faculty of Agriculture,27
122,2072,93,13,1,21,55,11,54,9,45,10,44,198,ABUJA,Faculty of Agriculture,27
123,2076,97,23,1,19,58,11,46,9,38,1,55,197,ABUJA,Faculty of Agriculture,27
124,2077,98,37,1,22,45,11,47,9,52,6,53,197,ABUJA,Faculty of Agriculture,27
125,2078,99,37,1,21,47,11,51,4,55,6,43,196,ABUJA,Faculty of Education,7
126,2079,100,22,1,20,45,11,58,9,54,10,39,196,ABUJA,Faculty of Agriculture,27
127,2081,102,23,2,26,61,11,46,9,41,10,47,195,ABUJA,Faculty of Agriculture,27
128,2082,103,30,1,20,46,2,39,9,47,10,63,195,ABUJA,Faculty of Agriculture,27
129,2083,104,22,2,20,51,2,43,9,50,10,51,195,ABUJA,Faculty of Agriculture,27
130,2085,106,29,2,19,53,2,48,9,50,10,44,195,ABUJA,Faculty of Agriculture,27
131,2088,109,18,1,18,46,11,51,9,45,10,52,194,ABUJA,Faculty of Agriculture,27
132,2089,110,9,2,18,62,11,42,9,43,10,47,194,ABUJA,Faculty of Agriculture,27
133,2090,111,4,2,18,53,2,46,9,50,10,45,194,ABUJA,Faculty of Agriculture,27
134,2091,112,12,1,39,42,11,44,9,47,5,61,194,ABUJA,Faculty of Agriculture,27
135,2092,113,15,2,19,48,11,52,9,43,10,51,194,ABUJA,Faculty of Agriculture,27
136,2093,114,7,2,22,44,11,52,9,59,10,39,194,ABUJA,Faculty of Agriculture,27
137,2094,115,27,1,20,62,11,47,9,47,10,37,193,ABUJA,Faculty of Agriculture,27
138,2095,116,30,1,15,43,2,46,9,52,10,52,193,ABUJA,Faculty of Agriculture,27
139,2097,118,37,1,21,45,11,54,6,51,5,43,193,ABUJA,Faculty of Education,4
140,2099,120,6,1,16,60,9,41,1,47,10,44,192,ABUJA,Faculty of Agriculture,27
141,2101,122,37,1,18,49,2,48,9,50,6,45,192,ABUJA,Faculty of Agriculture,27
142,2102,123,37,1,18,42,11,47,9,43,1,60,192,ABUJA,Faculty of Agriculture,27
143,2104,125,13,2,17,38,2,56,9,50,10,47,191,ABUJA,Faculty of Agriculture,27
144,2105,126,22,2,17,57,2,46,9,48,10,40,191,ABUJA,Faculty of Agriculture,27
145,2107,128,10,1,23,46,9,52,1,38,10,54,190,ABUJA,Faculty of Agriculture,27
146,2108,129,7,1,21,42,11,51,9,50,1,47,190,ABUJA,Faculty of Agriculture,27
147,2109,130,30,1,17,44,2,49,9,45,10,51,189,ABUJA,Faculty of Agriculture,27
148,2110,131,30,2,20,47,11,52,4,53,1,37,189,ABUJA,Faculty of Education,4
149,2116,137,13,1,18,47,2,43,9,47,10,52,189,ABUJA,Faculty of Agriculture,27
150,2117,138,1,2,24,58,11,51,9,41,10,39,189,ABUJA,Faculty of Agriculture,27
151,2118,139,30,2,23,47,2,49,9,43,10,49,188,ABUJA,Faculty of Agriculture,27
152,2120,141,22,1,17,44,2,36,9,56,10,52,188,ABUJA,Faculty of Agriculture,27
153,2121,142,29,1,20,58,11,46,9,40,1,44,188,ABUJA,Faculty of Agriculture,27
154,2122,143,2,2,17,45,11,52,9,48,10,42,187,ABUJA,Faculty of Agriculture,27
155,2125,146,17,1,22,47,11,46,2,48,9,45,186,ABUJA,Faculty of Agriculture,27
156,2126,147,7,2,21,41,11,42,9,50,10,52,185,ABUJA,Faculty of Agriculture,27
157,2127,148,25,1,26,44,9,41,6,51,10,49,185,ABUJA,Faculty of Agriculture,27
158,2132,153,23,1,17,53,9,50,1,37,10,44,184,ABUJA,Faculty of Science,24
159,2133,154,16,2,20,55,11,46,9,48,10,35,184,ABUJA,Faculty of Agriculture,27
160,2134,155,21,1,22,46,9,45,1,43,10,49,183,ABUJA,Faculty of Agriculture,27
161,2135,156,14,1,20,52,2,39,9,45,1,47,183,ABUJA,Faculty of Agriculture,27
162,2136,157,1,1,18,45,2,41,9,45,10,51,182,ABUJA,Faculty of Agriculture,27
163,2138,159,11,1,30,46,9,46,1,44,10,46,182,ABUJA,Faculty of Agriculture,27
164,2140,161,16,1,22,46,11,56,9,43,10,35,180,ABUJA,Faculty of Agriculture,27
165,2141,1,7,1,18,66,4,61,5,73,13,48,248,ABUJA,Faculty of Social Science,21
166,2142,2,3,2,17,68,7,53,5,51,13,57,229,ABUJA,Faculty of Arts,25
167,2143,3,16,2,20,56,7,47,5,59,13,67,229,ABUJA,Faculty of Education,7
168,2144,4,1,2,21,66,4,50,5,52,13,57,225,ABUJA,Faculty of Arts,25
169,2145,5,32,2,20,48,7,64,5,61,13,51,224,ABUJA,Faculty of Arts,25
170,2146,6,24,1,21,70,7,37,5,78,13,39,224,ABUJA,Faculty of Arts,25
171,2147,7,11,2,17,47,7,65,5,49,13,62,223,ABUJA,Faculty of Arts,25
172,2148,8,30,2,19,80,7,54,5,45,13,42,221,ABUJA,Faculty of Arts,25
173,2149,9,16,2,20,54,4,50,5,57,13,59,220,ABUJA,Faculty of Social Science,23
174,2150,10,9,2,18,61,7,38,5,54,13,67,220,ABUJA,Faculty of Arts,25
175,2151,11,7,2,18,60,7,48,5,50,13,62,220,ABUJA,Faculty of Arts,25
176,2153,13,14,2,18,64,7,50,5,50,13,54,218,ABUJA,Faculty of Arts,25
177,2154,14,16,2,17,53,7,62,5,61,13,42,218,ABUJA,Faculty of Arts,25
178,2155,15,7,1,18,58,7,42,5,60,13,58,218,ABUJA,Faculty of Arts,25
179,2156,16,10,1,20,57,7,60,5,50,13,51,218,ABUJA,Faculty of Arts,25
180,2157,17,11,1,20,63,7,46,5,61,13,48,218,ABUJA,Faculty of Arts,25
181,2158,18,4,1,21,64,7,42,5,54,13,58,218,ABUJA,Faculty of Arts,25
182,2159,19,14,2,19,52,7,60,5,52,13,52,216,ABUJA,Faculty of Arts,25
183,2160,20,16,2,17,69,7,47,5,49,13,51,216,ABUJA,Faculty of Arts,25
184,2161,21,23,1,21,56,7,52,5,47,13,61,216,ABUJA,Faculty of Arts,15
185,2162,22,16,2,31,54,7,60,5,52,13,50,216,ABUJA,Faculty of Arts,25
