SerialNo,Sex,Age,StateOfOrigin,TotalScore,Dept
1,1,18,16,276,1
2,1,24,1,270,1
3,1,21,4,256,1
4,1,24,9,255,1
5,2,23,22,254,1
6,2,17,3,254,1
7,2,21,23,252,1
8,1,18,12,250,1
9,1,26,14,248,1
10,2,23,7,248,1
11,1,20,22,248,1
12,2,17,22,247,1
13,2,20,10,247,1
14,2,21,14,246,1
15,2,20,4,246,1
16,2,21,16,245,1
17,2,17,22,244,1
18,1,17,11,243,1
19,2,22,7,240,1
20,2,20,22,240,1
21,1,19,10,237,1
22,1,17,22,237,1
23,2,19,14,236,1
24,1,29,13,236,1
25,1,23,22,236,1
26,2,16,29,235,1
27,1,28,12,234,1
28,2,18,14,234,1
29,1,19,30,233,1
30,2,20,7,233,1
31,2,19,1,233,1
32,1,18,23,233,1
33,1,21,16,232,1
34,2,24,9,232,1
35,2,19,22,232,1
36,2,20,12,232,1
37,2,16,4,231,1
38,1,17,7,231,1
39,2,19,29,230,1
40,2,16,9,228,1
41,1,28,28,228,1
42,2,17,18,228,1
43,2,26,1,228,1
44,2,23,22,228,1
45,1,19,14,227,1
46,1,21,22,227,1
47,1,19,7,226,1
48,1,20,30,225,1
49,2,16,13,225,1
50,1,31,27,224,1
51,2,18,16,224,1
52,1,25,9,223,1
53,2,23,10,222,1
54,2,21,3,222,1
55,1,21,37,221,1
56,1,28,25,220,1
57,2,19,23,220,1
58,1,18,32,220,1
59,2,24,2,217,1
60,1,19,31,216,1
61,2,19,20,216,1
62,2,17,37,216,1
63,2,17,11,216,1
64,1,28,25,216,1
65,2,18,31,215,1
66,1,18,26,215,1
67,1,20,24,215,1
68,1,19,18,213,1
69,1,21,19,213,1
70,1,23,36,213,1
71,2,18,26,212,1
72,1,27,23,211,1
73,1,19,8,209,1
74,1,21,11,208,1
75,1,21,34,208,1
76,2,18,5,208,1
77,1,21,33,206,1
78,2,20,22,262,27
79,1,20,22,261,27
80,1,19,12,257,27
81,1,22,22,252,27
82,2,17,29,244,27
83,1,17,4,240,27
84,1,20,4,238,27
85,1,34,22,236,27
86,2,17,4,235,27
